,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
0,ResidualBlock-in_96x14x14-out_96-k_5-e_6-s_1-act_h_swish-use_se_False,,,,,,,,,,
1,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.921,0.931,1.186,0.050,12.398,0.174,200.155,
2,ResidualBlock-in_48x28x28-out_48-k_7-e_6-s_1-act_relu-use_se_True,,,,,,,,,,
3,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,2.223,2.236,2.487,0.067,6.643,1.273,585.231,
4,ResidualBlock-in_136x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
5,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.270,1.281,1.463,0.065,11.470,0.374,306.433,
6,ResidualBlock-in_48x28x28-out_96-k_7-e_6-s_2-act_h_swish-use_se_False,,,,,,,,,,
7,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.366,1.382,2.512,0.039,6.402,1.730,1311.611,
8,ResidualBlock-in_136x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
9,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.060,1.067,1.220,0.061,13.154,0.366,362.780,
10,ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
11,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.704,0.713,0.881,0.039,13.075,0.210,320.397,
12,ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,,,,,,,,,,
13,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.258,1.273,1.454,0.049,8.679,1.257,1036.040,
14,ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,,,,,,,,,,
15,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,3.763,3.793,4.357,0.138,8.084,1.467,397.183,
16,ResidualBlock-in_48x28x28-out_96-k_5-e_6-s_2-act_h_swish-use_se_False,,,,,,,,,,
17,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.194,1.208,1.877,0.036,6.838,1.654,1439.824,
18,ResidualBlock-in_192x7x7-out_192-k_7-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
19,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.910,0.924,1.872,0.034,8.434,0.629,729.874,
20,ResidualBlock-in_136x14x14-out_192-k_7-e_4-s_2-act_h_swish-use_se_True,,,,,,,,,,
21,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.015,1.029,1.299,0.043,9.529,0.577,594.989,
22,ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
23,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.559,0.565,0.646,0.037,15.829,0.204,401.532,
24,ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True,,,,,,,,,,
25,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.783,0.798,2.142,0.062,18.285,0.185,252.581,
26,ResidualBlock-in_32x56x56-out_32-k_5-e_6-s_1-act_relu-use_se_False,,,,,,,,,,
27,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,2.248,2.283,2.567,0.109,10.789,1.459,667.460,
28,ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True,,,,,,,,,,
29,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.643,1.659,2.091,0.056,7.566,1.264,790.409,
30,ResidualBlock-in_192x7x7-out_192-k_5-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
31,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.784,0.790,0.883,0.032,9.394,0.612,835.310,
32,ResidualBlock-in_32x56x56-out_48-k_3-e_6-s_2-act_relu-use_se_True,,,,,,,,,,
33,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.546,0.688,11.397,0.057,25.442,0.170,350.514,
34,ResidualBlock-in_136x14x14-out_192-k_3-e_4-s_2-act_h_swish-use_se_True,,,,,,,,,,
35,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.852,0.860,0.948,0.040,10.929,0.564,701.588,
36,ResidualBlock-in_136x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
37,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.598,1.606,1.794,0.070,9.769,0.387,249.846,
38,ResidualBlock-in_136x14x14-out_192-k_5-e_4-s_2-act_h_swish-use_se_True,,,,,,,,,,
39,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.902,0.918,2.152,0.041,10.476,0.587,685.257,
40,ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False,,,,,,,,,,
41,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.261,1.269,1.440,0.055,9.898,0.187,154.985,
42,ResidualBlock-in_32x56x56-out_48-k_7-e_6-s_2-act_relu-use_se_True,,,,,,,,,,
43,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.183,1.191,1.388,0.069,13.201,0.199,176.161,
44,ResidualBlock-in_48x28x28-out_96-k_3-e_6-s_2-act_h_swish-use_se_False,,,,,,,,,,
45,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.135,1.150,1.330,0.034,6.841,1.612,1476.999,
46,ResidualBlock-in_32x56x56-out_32-k_3-e_6-s_1-act_relu-use_se_False,,,,,,,,,,
47,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.222,1.233,1.404,0.089,16.574,1.453,1240.881,
48,ResidualBlock-in_192x7x7-out_192-k_3-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
49,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.779,0.797,2.430,0.030,9.020,0.600,817.728,
50,ResidualBlock-in_96x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
51,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.925,0.934,1.355,0.043,10.681,0.219,249.819,
52,ResidualBlock-in_96x14x14-out_96-k_3-e_6-s_1-act_h_swish-use_se_False,,,,,,,,,,
53,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.698,0.704,0.828,0.046,15.422,0.165,254.920,
